Algoritmo,Complexidade,Execuções,Média (s),Desvio padrão,IC 95%,Distribuição
BFS,O(V+E),30,0.01985420999893298,0.0037840197514267472,0.0013540691957925578,Normal (Z)
DFS,O(V+E),30,0.0625511933506156,0.034906540037487145,0.012490915402500096,Normal (Z)
Dijkstra,O((V+E)logV),30,0.15777833998048058,0.02373282593708637,0.008492526636098717,Normal (Z)
Bellman-Ford,O(VE),10,0.20048114992678165,0.019660810588672934,0.014064496631588352,t-Student
Kruskal,O(E log V),30,0.3647498666852092,0.038581383968602556,0.013805917250625339,Normal (Z)
Prim,O(E log V),30,0.49968641668868563,0.04709173521036296,0.01685125137117209,Normal (Z)
Tarjan SCC,O(V+E),30,0.13547711334346482,0.014089574785652927,0.005041796938791027,Normal (Z)
Floyd-Warshall (100 nós),O(V³),10,0.10379655000288039,0.005889358900729452,0.004212993561376615,t-Student
